"","X","CD.Name","Common.Name","NS.Probe.ID","Class.Name","Gene.Class","Cell.Type","CT.antigen","surface.marker","is.HK","IR.Innate","IR.Adaptive","IR.Humoral","IR.F","Adhesion","Antigen.Processing","B.Cell.Functions","Cell.Cycle","Cell.Functions","Chemokines","Complement","Cytokines","Cytotoxicity","Interleukins","Leukocyte.Functions","Macrophage.Functions","Microglial.Functions","NK.Cell.Functions","Pathogen.Defense","Regulation","Senescence","T.Cell.Functions","TLR","TNF.Super.family","Transporter.Functions","Immune.Response.Category","Annotation","Synonyms...Previous.Symbols","IR.Type","Cell.Type.April","Cell.Type.TCGA2"
"CXCL1",222,NA,"CXCL1","NM_001511.1:742","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","MGSA, GRO1, FSP, SCYB1, GROa, MGSA-a, NAP-3","F",NA,NA
"CXCL10",223,NA,"CXCL10","NM_001565.1:40","Endogenous","Immune Response",NA,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,"Chemokines, Cytokines, Pathogen Defense, Regulation, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Cytokines and receptors, Defense response to virus, Innate immune response, Regulation of inflammatory response, Th1 orientation","INP10, SCYB10, IFI10, IP-10, crg-2, mob-1, C7, gIP-10","A;F;I",NA,NA
"CXCL11",224,NA,"CXCL11","NM_005409.4:282","Endogenous","Immune Response",NA,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Chemokines, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Th1 orientation","SCYB9B, SCYB11, H174, b-R1, I-TAC, IP-9","A",NA,NA
"CXCL12",225,NA,"CXCL12","NM_000609.5:210","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","SDF1A, SDF1B, SDF1, SCYB12, SDF-1a, SDF-1b, PBSF, TLSF-a, TLSF-b, TPAR1",NA,NA,NA
"CXCL13",226,NA,"CXCL13","NM_006419.2:210","Endogenous","Immune Response - Cell Type specific","TFH",0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Adaptive immune response, Cell Type specific, Chronic inflammatory response, Humoral immune response, Chemokines and receptors","SCYB13, BLC, BCA-1, BLR1L, ANGIE, ANGIE2","A;F;H","TFH",NA
"CXCL14",227,NA,"CXCL14","NM_004887.4:1125","Endogenous","Immune Response",NA,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Adaptive immune response, Chemokines and receptors, Inflammatory response","SCYB14, BRAK, NJAC, bolekine, Kec, MIP-2g, BMAC, KS1","A;F",NA,NA
"CXCL16",228,NA,"CXCL16","NM_001100812.1:850","Endogenous","Immune Response",NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Adaptive immune response, Chemokines and receptors","SR-PSOX, CXCLG16, SRPSOX","A",NA,NA
"CXCL2",229,NA,"CXCL2","NM_002089.3:854","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Regulation of inflammatory response, Chemokines and receptors","GRO2, SCYB2, GROb, MIP-2a, MGSA-b, CINC-2a","F",NA,NA
"CXCL3",230,NA,"CXCL3","NM_002090.2:540","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","GRO3, SCYB3, GROg, MIP-2b, CINC-2b","F",NA,NA
"CXCL5",231,NA,"CXCL5","NM_002994.3:250","Endogenous","Immune Response - Cell Type specific","Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Cell Type specific, Chemokines and receptors","SCYB5, ENA-78",NA,NA,NA
"CXCL6",232,NA,"CXCL6","NM_002993.3:539","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYB6, GCP-2, CKA-3","F",NA,NA
"CXCL8",233,NA,"IL-8","NM_000584.2:25","Endogenous","Immune Response",NA,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,"Chemokines, Cytokines, Interleukins, Pathogen Defense, Regulation","Chemokines and receptors, Cytokines and receptors, Defense response to virus, Innate immune response, Interleukins, Regulation of inflammatory response","IL8RB, CMKAR2, CD182","F;I",NA,NA
"CXCL9",234,NA,"MIG","NM_002416.1:1975","Endogenous","Immune Response",NA,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Chemokines, Regulation, T-Cell Functions","Adaptive immune response, Chemokines and receptors, Regulation of inflammatory response, Th1 orientation","CMK, MIG, SCYB9, Humig, crg-10","A;F",NA,NA
"CXCR1",235,"CD181","IL8RA","NM_000634.2:1950","Endogenous","Immune Response",NA,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","CD molecules, Chemokines and receptors, Regulation of inflammatory response","CMKAR1, IL8RA, CKR-1, CDw128a, CD181","F",NA,NA
"CXCR2",236,"CD182","IL8RB","NM_001557.2:2055","Endogenous","Immune Response",NA,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","CD molecules, Chemokines and receptors, Regulation of inflammatory response","IL8RB, CMKAR2, CD182","F",NA,NA
"CXCR3",237,"CD183","CXCR3","NM_001504.1:80","Endogenous","Immune Response",NA,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Chemokines, T-Cell Functions","Adaptive immune response, CD molecules, Chemokines and receptors, T-cell polarization","GPR9, CKR-L2, CMKAR3, IP10-R, MigR, CD183","A",NA,NA
"CXCR4",238,"CD184","CXCR4","NM_003467.2:1335","Endogenous","Immune Response",NA,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Cell Cycle, Chemokines, Regulation, T-Cell Functions","Adaptive immune response, CD molecules, Chemokines and receptors, Co-Regulators of autophagy and apoptosis/cell cycle, T-cell polarization","LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184","A",NA,NA
"CXCR5",239,"CD185","CXCR5","NM_001716.3:2618","Endogenous","Immune Response",NA,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Chemokines, B-Cell Functions","Adaptive immune response, B-cell activation, CD molecules, Chemokines and receptors","BLR1, MDR15, CD185","A",NA,NA
"CXCR6",240,"CD186","CXCR6","NM_006564.1:95","Endogenous","Immune Response - Cell Type specific","Th2 cells",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Cell Type specific, CD molecules, Chemokines and receptors","TYMSTR, STRL33, BONZO, CD186",NA,NA,NA
"CYBB",241,NA,"CYBB","NM_000397.3:2686","Endogenous","Immune Response","Macrophages",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","CGD, GP91-PHOX, NOX2","I",NA,NA
"CYFIP2",242,NA,"CYFIP2","NM_001037332.2:4043","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","PIR121","I",NA,NA
"CYLD",243,NA,"CYLD","NM_015247.1:2890","Endogenous","Immune Response","Tcm",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","CYLD1, KIAA0849, USPL2","I","Tcm",NA
"DDX43",244,NA,"HAGE","NM_018665.2:1255","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","HAGE, DKFZp434H2114, CT13",NA,NA,NA
"DDX50",245,NA,"DDX50","NM_024045.1:1185","Housekeeping","HK","T helper cells",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GU2, MGC3199, GUB, RH-II/GuB",NA,NA,NA
"DDX58",246,NA,"RIG-I","NM_014314.3:2130","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","RIG-I, FLJ13599, DKFZp434J1111","I",NA,NA
"DEFB1",247,NA,"DEFB1","NM_005218.3:40","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822","I",NA,NA
"DHX16",248,NA,"DBP2","NM_001164239.1:2490","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","DDX16, DBP2, Prp2, PRPF2",NA,NA,NA
"DMBT1",249,NA,"DMBT1","NM_007329.2:3712","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","GP340, muclin","I",NA,NA
"DNAJC14",250,NA,"DNAJ","NM_032364.5:1166","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","DNAJ, DRIP78, HDJ3, LIP6, FLJ32792",NA,NA,NA
"DOCK9",251,NA,"DOCK9","NM_001130048.1:1020","Endogenous","Immune Response - Cell Type specific","Tcm",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","KIAA1058, ZIZ1",NA,"Tcm",NA
"DPP4",252,"CD26","CD26","NM_001935.3:2700","Endogenous","Immune Response","Th1 cells",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Regulation, T-Cell Functions","CD molecules, Regulators of T-cell activation","CD26, ADCP2, DPPIV",NA,NA,NA
"DUSP4",253,NA,"DUSP4","NM_057158.2:3115","Endogenous","Immune Response","NK CD56bright cells",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","HVH2, MKP-2, TYP","I",NA,NA
"DUSP6",254,NA,"DUSP6","NM_001946.2:1535","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","MKP-3, PYST1","I",NA,NA
"EBI3",255,NA,"EBI3","NM_005755.2:485","Endogenous","Immune Response - Cell Type specific","aDC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cytokines","Cell Type specific, Cytokines and receptors, Humoral immune response","","H","aDC",NA
"ECSIT",256,NA,"ECSIT","NM_001142464.2:1318","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","SITPEC","I",NA,NA
"EDC3",257,NA,"EDC3","NM_001142443.1:925","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","YJDC, LSM16, FLJ21128, hYjeF_N2-15q23, YJEFN2",NA,NA,NA
"EGR1",258,NA,"EGR1","NM_001964.2:1505","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Senescence, T-Cell Functions","T-cell differentiation, Senescence initiators interferon related","TIS8, G0S30, NGFI-A, KROX-24, ZIF-268, AT225, ZNF225",NA,NA,NA
"EGR2",259,NA,"EGR2","NM_000399.3:1891","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcriptional regulators","KROX20",NA,NA,NA
"EIF2B4",260,NA,"EIF-2B","NM_172195.3:1390","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","EIF2Bdelta, EIF-2B, DKFZP586J0119, EIF2B",NA,NA,NA
"ELANE",261,NA,"ELA2","NM_001972.2:195","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Positive regulation of immune response","ELA2, NE, HNE, HLE",NA,NA,NA
"ELK1",262,NA,"ELK1","NM_005229.3:2350","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","","I",NA,NA
"ENG",263,"CD105","ENG","NM_001114753.1:1480","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","ORW1, ORW, END, HHT1, CD105",NA,NA,NA
"ENTPD1",264,"CD39","CD39","NM_001098175.1:8830","Endogenous","Immune Response","Exhausted CD8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, CD molecules","CD39, NTPDase-1, ATPDase, SPG64","A",NA,NA
"EOMES",265,NA,"EOMES","NM_005442.2:1670","Endogenous","Immune Response","Exhausted CD8",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"T-Cell Functions","CD8-positive, T-cell differentiation","TBR2",NA,"Exhausted CD8","Exhausted CD8"
"EP300",266,NA,"p300","NM_001429.2:715","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","p300, KAT3B","I",NA,NA
"EPCAM",267,"CD326","EPCAM","NM_002354.1:415","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adhesion, Cell Functions","Adhesion, Basic cell functions, CD molecules","M4S1, MIC18, TACSTD1, Ly74, TROP1, GA733-2, EGP34, EGP40, EGP-2, KSA, CD326, Ep-CAM, HEA125, KS1/4, MK-1, MH99, MOC31, 323/A3, 17-1A, TACST-1, CO-17A, ESA",NA,NA,NA
"ERCC3",268,NA,"XPB","NM_000122.1:1950","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","XPB, BTF2, RAD25, TFIIH, GTF2H",NA,NA,NA
"ETS1",269,NA,"ETS-1","NM_005238.3:4625","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senescence","Senescence pathway","EWSR2, FLJ10768, ETS-1",NA,NA,NA
"EWSR1",270,NA,"EWS","NM_013986.3:452","Endogenous","Immune Response - Cell Type specific","Tem",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","EWS",NA,NA,NA
"F12",271,NA,"F12","NM_000505.3:1862","Endogenous","Immune Response","SW480 cancer cells",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","","I",NA,NA
"F13A1",272,NA,"F13A1","NM_000129.3:3196","Endogenous","Immune Response - Cell Type specific","iDC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","F13A",NA,"iDC",NA
"F2RL1",273,NA,"PAR2","NM_005242.3:940","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"T-Cell Functions","T-cell activation","GPR11, PAR2",NA,NA,NA
"FADD",274,NA,"FADD","NM_003824.2:1560","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","MORT1, GIG3","I",NA,NA
"FAS",275,"CD95","FAS","NM_000043.3:90","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,"B-Cell Functions, Regulation, TNF Superfamily, Transporter Functions, T-Cell Functions","B-cell activation, CD molecules, Co-Regulators of autophagy and apoptosis/cell cycle, Receptors involved in phagocytosis, T-cell regulators, TNF superfamily members and their receptors","FAS1, APT1, TNFRSF6, CD95, APO-1",NA,NA,NA
"FCER1A",276,NA,"FCER1A","NM_002001.2:114","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Inflammatory response","FCE1A","F",NA,NA
"FCER1G",277,NA,"FCER1G","NM_004106.1:36","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Positive regulation of immune response","",NA,NA,NA
"FCER2",278,"CD23","CD23","NM_002002.4:420","Endogenous","Immune Response",NA,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, CD molecules, Inflammatory response","CD23A, FCE2, CLEC4J, CD23","A;F",NA,NA
"FCF1",279,NA,"Bka","NM_015962.4:1022","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","C14orf111, CGI-35, Bka, UTP24",NA,NA,NA
"FCGR1A",280,"CD64","CD64","NM_000566.3:1545","Endogenous","Immune Response",NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules, Innate immune response","CD64, CD64A","I",NA,NA
"FCGR2A",281,"CD32","CD32","NM_021642.3:60","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","CD molecules, Receptors involved in phagocytosis","FCG2, FCGR2A1, FCGR2, CD32, CD32A, IGFR2, CDw32",NA,NA,NA
"FCGR2B",282,"CD32","CD32","NM_001002273.1:870","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","CD molecules, Regulation of immune response","FCG2, FCGR2, CD32, CD32B",NA,NA,NA
"FCGR3A",283,"CD16","CD16","NM_000569.6:1644","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","CD molecules, Regulation of immune response","FCGR3, FCG3, CD16, CD16a",NA,NA,NA
"FEZ1",284,NA,"FEZ1","NM_005103.4:426","Endogenous","Immune Response - Cell Type specific","Tgd",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","",NA,"Tgd",NA
"FLT3",285,"CD135","FLT3","NM_004119.1:580","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","STK1, FLK2, CD135",NA,NA,NA
"FLT3LG",286,NA,"FLT3LG","NM_001459.3:360","Endogenous","Immune Response - Cell Type specific","CD8 T cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cytokines","Cell Type specific, Cytokines and receptors","",NA,NA,NA
"FN1",287,NA,"FN1","NM_212482.1:1776","Endogenous","Immune Response","Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senescence","Senescence pathway","MSF, CIG, LETS, GFND2, FINC",NA,NA,NA
"FOS",288,NA,"c-fos","NM_005252.2:1475","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","c-fos, AP-1","I",NA,NA
"FOXJ1",289,NA,"FOXJ1","NM_001454.3:815","Endogenous","Immune Response - Cell Type specific","NK CD56bright cells",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Cell Type specific, Humoral immune response","FKHL13, HFH-4, HFH4","H","NK CD56bright cells",NA
"FOXP3",290,NA,"FOXP3","NM_014009.3:1230","Endogenous","Immune Response - Cell Type specific","Treg",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Cytokines, T-Cell Functions","Cell Type specific, Cytokines and receptors, T-cell mediated immunity, Chronic inflammatory response","IPEX, JM2, XPID, AIID, PIDX, DIETER, SCURFIN","F","Treg","Treg"
"FPR2",291,NA,"FPR2","NM_001462.3:1200","Endogenous","Immune Response - Cell Type specific",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Cell Type specific, Inflammatory response","FPRL1, LXA4R, HM63, FPRH2, FMLPX, FPR2A, FMLP-R-II, ALXR","F",NA,NA
"FUT5",292,NA,"FUT5","NM_002034.2:1726","Endogenous","Immune Response - Cell Type specific","NK cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","FUC-TV",NA,NA,NA
"FUT7",293,NA,"FUT7","NM_004479.3:1710","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leukocyte Functions","Leukocyte migration","",NA,NA,NA
"FYN",294,NA,"FYN","NM_002037.3:765","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Phagyocytosis signal transduction","SYN, SLK, MGC45350",NA,NA,NA
"G6PD",295,NA,"G6PD","NM_000402.2:1155","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","G6PD1",NA,NA,NA
"GAGE1",296,NA,"GAGE1","NM_001040663.2:1642","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CT4.1",NA,NA,NA
"GATA3",297,NA,"GATA3","NM_001002295.1:2835","Endogenous","Immune Response - Cell Type specific","Th2 cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","HDR",NA,"Th2 cells",NA
"GNLY",298,NA,"GNLY","NM_006433.2:305","Endogenous","Immune Response - Cell Type specific","Cytotoxic cells",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Cytotoxicity, Pathogen Defense","Adaptive immune response, Cell Type specific, Cytotoxicity, Defense response to bacterium, Defense response to fungus","LAG2, NKG5, LAG-2, D2S69E, TLA519","A","Cytotoxic cells","Cytotoxic cells"
"GPATCH3",299,NA,"GPATCH3","NM_022078.2:1685","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","GPATC3, FLJ12455",NA,NA,NA
"GPI",300,NA,"GPI","NM_000175.2:1695","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","AMF, NLK","H",NA,NA
"GTF3C1",301,NA,"GTF3C1","NM_001520.3:2904","Endogenous","Immune Response - Cell Type specific","NK CD56dim cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","TFIIIC220",NA,NA,NA
"GUSB",302,NA,"GUSB","NM_000181.1:1350","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA
"GZMA",303,NA,"GZMA","NM_006144.2:155","Endogenous","Immune Response - Cell Type specific","Cytotoxic cells",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","HFSP, CTLA3","A","Cytotoxic cells","Cytotoxic cells"
"GZMB",304,NA,"GZMB","NM_004131.3:540","Endogenous","Immune Response - Cell Type specific","Cytotoxic cells",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","CTLA1, CSPB, CCPI, CGL-1, CSP-B, CGL1, CTSGL1, HLP, SECT","A","Cytotoxic cells","Cytotoxic cells"
"GZMH",305,NA,"GZMH","NM_033423.3:705","Endogenous","Immune Response - Cell Type specific","Cytotoxic cells",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions, Cytotoxicity","Adaptive immune response, Basic cell functions, Cell Type specific, Cytotoxicity","CTSGL2, CGL-2, CCP-X, CTLA1, CSP-C","A","Cytotoxic cells","Cytotoxic cells"
